"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"1","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Bewley","Janet","D","Ashland","Senator",25
"2","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Carpenter","Tim","D","Milwaukee","Senator",3
"3","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Cowles","Robert","R","Green Bay","Senator",2
"5","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Erpenbach","Jon","D","Middleton","Senator",27
"6","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"9","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"11","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"13","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Larson","Chris","D","Milwaukee","Senator",7
"14","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Lasee","Frank","R","De Pere","Senator",1
"15","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"16","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Marklein","Howard","R","Spring Green","Senator",17
"19","sv0001","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 1","ADOPTION","Aye","Miller","Mark","D","Monona","Senator",16
