TOPIC: (lamprey) NOT ACCESSION NUMBER: (WOS:0002213213*)
Refined by: DOCUMENT TYPES=( ARTICLE )
Timespan=2003. Indexes=SCI-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2003"
"Head and backbone of the Early Cambrian vertebrate Haikouichthys","Shu, DG; Morris, SC; Han, J; Zhang, ZF; Yasui, K; Janvier, P; Chen, L; Zhang, XL; Liu, JN; Li, Y; Liu, HQ","","","","NATURE","JAN 30 2003","2003","421","6922","","","","526","529","","10.1038/nature01264","","","152","10.13","12"
"Recent duplication of the, common carp (Cyprinus carpio L.) genome as revealed by analyses of microsatellite loci","David, L; Blum, S; Feldman, MW; Lavi, U; Hillel, J","","","","MOLECULAR BIOLOGY AND EVOLUTION","SEP 2003","2003","20","9","","","","1425","1434","","10.1093/molbev/msg173","","","139","9.27","0"
"Fish community change in lake superior, 1970-2000","Bronte, CR; Ebener, MP; Schreiner, DR; DeVault, DS; Petzold, MM; Jensen, DA; Richards, C; Lozano, SJ","","","","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","DEC 2003","2003","60","12","","","","1552","1574","","10.1139/F03-136","Workshop on Salmonid Communities in Oligotrophic Lakes II","MAY 18-20, 2000","129","8.60","0"
"Colocalization of synapsin and actin during synaptic vesicle recycling","Bloom, O; Evergren, E; Tomilin, N; Kjaerulff, O; Low, P; Brodin, L; Pieribone, VA; Greengard, P; Shupliakov, O","","","","JOURNAL OF CELL BIOLOGY","MAY 26 2003","2003","161","4","","","","737","747","","10.1083/jcb.200212140","","","125","8.33","1"
"Motion planning for anguilliform locomotion","McIsaac, KA; Ostrowski, JP","","","","IEEE TRANSACTIONS ON ROBOTICS AND AUTOMATION","AUG 2003","2003","19","4","","","","637","652","","10.1109/TRA.2003.814495","19th IEEE International Conference on Robotics and Automation (ICRA)","MAY 11-15, 2002","105","7.00","0"
"Molecular phylogeny of early vertebrates: Monophyly of the Agnathans as revealed by sequences of 35 genes","Takezaki, N; Figueroa, F; Zaleska-Rutczynska, Z; Klein, J","","","","MOLECULAR BIOLOGY AND EVOLUTION","FEB 2003","2003","20","2","","","","287","292","","10.1093/molbev/msg040","","","102","6.80","2"
"Fast and slow locomotor burst generation in the hemispinal cord of the lamprey","Cangiano, L; Grillner, S","","","","JOURNAL OF NEUROPHYSIOLOGY","JUN 2003","2003","89","6","","","","2931","2942","","10.1152/jn.01100.2002","","","82","5.47","1"
"Neural crest contributions to the lamprey head","McCauley, DW; Bronner-Fraser, M","","","","DEVELOPMENT","JUN 2003","2003","130","11","","","","2317","2327","","10.1242/dev.00451","","","79","5.27","1"
"5-HT1A receptors are involved in short- and long-term processes responsible for 5-HT-induced locomotor function recovery in chronic spinal rat","Antri, M; Mouffle, C; Orsal, D; Barthe, JY","","","","EUROPEAN JOURNAL OF NEUROSCIENCE","OCT 2003","2003","18","7","","","","1963","1972","","10.1046/j.1460-9568.2003.02916.x","","","74","4.93","0"
"450 million years of hemostasis","Davidson, CJ; Tuddenham, EG; McVey, JH","","","","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","JUL 2003","2003","1","7","","","","1487","1494","","10.1046/j.1538-7836.2003.00334.x","19th Congress of the International-Society-of-Thrombosis-and-Haemostasis","JUL 12-18, 2003","74","4.93","1"
"Evolution of adrenal and sex steroid action in vertebrates: a ligand-based mechanism for complexity","Baker, ME","","","","BIOESSAYS","APR 2003","2003","25","4","","","","396","400","","10.1002/bies.10252","","","68","4.53","2"
"Independent Hox-cluster duplications in lampreys","Fried, C; Prohaska, SJ; Stadler, PF","","","","JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","OCT 15 2003","2003","299B","1","","","","18","25","","10.1002/jez.b.00037","","","65","4.33","1"
"Origin of mannose-binding lectin-associated serine protease (MASP)-1 and MASP-3 involved in the lectin complement pathway traced back to the invertebrate, amphioxus","Endo, Y; Nonaka, M; Saiga, H; Kakinuma, Y; Matsushita, A; Takahashi, M; Matsushita, M; Fujita, T","","","","JOURNAL OF IMMUNOLOGY","MAY 1 2003","2003","170","9","","","","4701","4707","","","","","59","3.93","1"
"Development of the adenohypophysis in the lamprey: Evolution of epigenetic patterning programs in organogenesis","Uchida, K; Murakami, Y; Kuraku, S; Hirano, S; Kuratani, S","","","","JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","DEC 15 2003","2003","300B","1","","","","32","47","","10.1002/jez.b.00044","","","58","3.87","0"
"Serotonin patterns locomotor network activity in the developing zebrafish by modulating quiescent periods","Brustein, E; Chong, M; Holmqvist, B; Drapeau, P","","","","JOURNAL OF NEUROBIOLOGY","DEC 2003","2003","57","3","","","","303","322","","10.1002/neu.10292","","","52","3.47","0"
"Cloning of a functional vitamin D receptor from the lamprey (Petromyzon marinus), an ancient vertebrate lacking a calcified skeleton and teeth","Whitfield, GK; Dang, HTL; Schluter, SF; Bernstein, RM; Bunag, T; Manzon, LA; Hsieh, G; Dominguez, CE; Youson, JH; Haussler, MR; Marchalonis, JJ","","","","ENDOCRINOLOGY","JUN 2003","2003","144","6","","","","2704","2716","","10.1210/en.2002-221101","","","52","3.47","0"
"Phylogeny of living parasitic lampreys (Petromyzontiformes) based on morphological data","Gill, HS; Renaud, CB; Chapleau, F; Mayden, RL; Potter, IC","","","","COPEIA","DEC 4 2003","2003","","4","","","","687","703","","10.1643/IA02-085.1","","","50","3.33","0"
"Identification of chemokines and a chemokine receptor in cichlid fish, shark, and lamprey","Kuroda, N; Uinuk-ool, TS; Sato, A; Samonte, IE; Figueroa, F; Mayer, WE; Klein, J","","","","IMMUNOGENETICS","MAR 2003","2003","54","12","","","","884","895","","10.1007/s00251-002-0531-z","","","48","3.20","2"
"Swimming performance and physiological responses to exhaustive exercise in radio-tagged and untagged Pacific lampreys","Mesa, MG; Bayer, JM; Seelye, JG","","","","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY","MAY 2003","2003","132","3","","","","483","492","","10.1577/1548-8659(2003)132<0483:SPAPRT>2.0.CO;2","","","47","3.13","0"
"Id expression in amphioxus and lamprey highlights the role of gene cooption during neural crest evolution","Meulemans, D; McCauley, D; Bronner-Fraser, M","","","","DEVELOPMENTAL BIOLOGY","DEC 15 2003","2003","264","2","","","","430","442","","10.1016/j.ydbio.2003.09.006","","","46","3.07","0"
"Interannual variation in the diets of two albatross species breeding at South Georgia: implications for breeding performance","Xavier, JC; Croxall, JP; Reid, K","","","","IBIS","OCT 2003","2003","145","4","","","","593","610","","10.1046/j.1474-919X.2003.00196.x","","","46","3.07","0"
"Differential contribution of reticulospinal cells to the control of locomotion induced by the mesencephalic locomotor region","Brocard, F; Dubuc, R","","","","JOURNAL OF NEUROPHYSIOLOGY","SEP 2003","2003","90","3","","","","1714","1727","","10.1152/jn.00202.2003","","","46","3.07","0"
"Isolation and characterization of a novel CXC chemokine in common carp (Cyprinus carpio L.)","Savan, R; Kono, T; Aman, A; Sakai, M","","","","MOLECULAR IMMUNOLOGY","MAR 2003","2003","39","13","","","","829","834","PII S0161-5890(02)00257-2","10.1016/S0161-5890(02)00257-2","","","44","2.93","3"
"Male sea lampreys, Petromyzon marinus L., excrete a sex pheromone from gill epithelia","Siefkes, MJ; Scott, AP; Zielinski, B; Yun, SS; Li, WM","","","","BIOLOGY OF REPRODUCTION","JUL 2003","2003","69","1","","","","125","132","","10.1095/biolreprod.102.014472","","","42","2.80","1"
"Responses in fish community structure to restoration of two Indiana streams","Moerke, AH; Lamberti, GA","","","","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT","AUG 2003","2003","23","3","","","","748","759","","10.1577/M02-012","","","40","2.67","0"
"From swimming to walking: a single basic network for two different behaviors","Bem, T; Cabelguen, JM; Ekeberg, O; Grillner, S","","","","BIOLOGICAL CYBERNETICS","FEB 2003","2003","88","2","","","","79","90","","10.1007/s00422-002-0340-3","","","37","2.47","2"
"Synaptic targets of commissural Interneurons in the lumbar spinal cord of neonatal rats","Birinyi, A; Viszokay, K; Weber, I; Kiehn, O; Antal, M","","","","JOURNAL OF COMPARATIVE NEUROLOGY","JUL 7 2003","2003","461","4","","","","429","440","","10.1002/cne.10696","","","36","2.40","2"
"Morphology and spectral absorption characteristics of retinal photoreceptors in the southern hemisphere lamprey (Geotria australis)","Collin, SP; Hart, NS; Shand, J; Potter, IC","","","","VISUAL NEUROSCIENCE","MAR-APR 2003","2003","20","2","","","","119","130","","10.1017/S0952523803202030","","","35","2.33","1"
"Evolutionary transformations of myoseptal tendons in gnathostomes","Gemballa, S; Ebmeyer, L; Hagen, K; Hannich, T; Hoja, K; Rolf, M; Treiber, K; Vogel, F; Weitbrecht, G","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","JUN 22 2003","2003","270","1521","","","","1229","1235","","10.1098/rspb.2003.2345","","","34","2.27","3"
"Assessing Pacific lamprey status in the Columbia River basin","Moser, ML; Close, DA","","","","NORTHWEST SCIENCE","SPR 2003","2003","77","2","","","","116","125","","","","","34","2.27","0"
"Pheromones of the male sea lamprey, Petromyzon marinus L.: structural studies on a new compound, 3-keto allocholic acid, and 3-keto petromyzonol sulfate","Yun, SS; Scott, AP; Li, WM","","","","STEROIDS","MAR 2003","2003","68","3","","","","297","304","","10.1016/S0039-128X(02)00178-2","","","34","2.27","3"
"Nicotinic activation of reticulospinal cells involved in the control of swimming in lampreys","Le Ray, D; Brocard, F; Bourcier-Lucas, C; Auclair, F; Lafaille, P; Dubuc, R","","","","EUROPEAN JOURNAL OF NEUROSCIENCE","JAN 2003","2003","17","1","","","","137","148","","10.1046/j.1460-9568.2003.02417.x","","","34","2.27","2"
"X-ray crystallographic studies on fibrinogen and fibrin","Doolittle, RF","","","","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","JUL 2003","2003","1","7","","","","1559","1565","","10.1046/j.1538-7836.2003.00278.x","19th Congress of the International-Society-of-Thrombosis-and-Haemostasis","JUL 12-18, 2003","33","2.20","1"
"Pheromonal stimulation of spawning release of gametes by gonadotropin releasing hormone in the chiton, Mopalia sp.","Gorbman, A; Whiteley, A; Kavanaugh, S","","","","GENERAL AND COMPARATIVE ENDOCRINOLOGY","MAR 2003","2003","131","1","","","","62","65","","10.1016/S0016-6480(02)00647-0","","","33","2.20","2"
"Identification and characterization of a TAP-family gene in the lamprey","Uinuk-ool, TS; Mayer, WE; Sato, A; Takezaki, N; Benyon, L; Cooper, MD; Klein, J","","","","IMMUNOGENETICS","APR 2003","2003","55","1","","","","38","48","","10.1007/s00251-003-0548-y","","","32","2.13","0"
"Blood steroid profile and in vitro steroidogenesis by ovarian follicles and testis fragments of adult sea lamprey, Petromyzon marinus","Lowartz, S; Petkam, R; Renaud, R; Beamish, FWH; Kime, DE; Raeside, J; Leatherland, JF","","","","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","FEB 2003","2003","134","2","","","","365","376","PII S1095-6433(02)00285-4","10.1016/S1095-6433(02)00285-4","","","32","2.13","1"
"mGluR1, but not mGluR5, mediates depolarization of spinal cord neurons by blocking a leak current","Kettunen, P; Hess, D; El Manira, A","","","","JOURNAL OF NEUROPHYSIOLOGY","OCT 1 2003","2003","90","4","","","","2341","2348","","10.1152/jn.01132.2002","","","31","2.07","0"
"Phylogeny of antigen-processing enzymes: Cathepsins of a cephalochordate, an agnathan and a bony fish","Uinuk-ool, TS; Takezaki, N; Kuroda, N; Figueroa, F; Sato, A; Samonte, IE; Mayer, WE; Klein, J","","","","SCANDINAVIAN JOURNAL OF IMMUNOLOGY","OCT 2003","2003","58","4","","","","436","448","","10.1046/j.1365-3083.2003.01322.x","","","31","2.07","0"
"Variable properties in a single class of excitatory spinal synapse","Parker, D","","","","JOURNAL OF NEUROSCIENCE","APR 15 2003","2003","23","8","","","","3154","3163","","","","","31","2.07","1"
"Historic and modern abundance of wild lean lake trout in Michigan waters of Lake Superior: Implications for restoration goals","Wilberg, MJ; Hansen, MJ; Bronte, CR","","","","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT","FEB 2003","2003","23","1","","","","100","108","","10.1577/1548-8675(2003)023<0100:HAMAOW>2.0.CO;2","","","31","2.07","1"
"5-HT inhibits N-type but not L-type Ca2+ channels via 5-HT1A receptors in lamprey spinal neurons","Hill, RH; Svensson, E; Dewael, Y; Grillner, S","","","","EUROPEAN JOURNAL OF NEUROSCIENCE","DEC 2003","2003","18","11","","","","2919","2924","","10.1046/j.1460-9568.2003.03051.x","","","30","2.00","0"
"Chemosterilization of male sea lampreys (Petromyzon marinus) does not affect sex pheromone release","Siefkes, MJ; Bergstedt, RA; Twohey, MB; Li, WM","","","","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","JAN 2003","2003","60","1","","","","23","31","","10.1139/F02-169","","","30","2.00","2"
"Comparative physiology and molecular evolution of carbonic anhydrase in the erythrocytes of early vertebrates","Tufts, BL; Esbaugh, A; Lund, SG","","","","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","OCT 2003","2003","136","2","","","","259","269","","10.1016/S1095-6433(03)00159-4","Meeting of the American-Physiological-Society","AUG   27, 2002","29","1.93","0"
"Estimating the strength and direction of functional coupling in the lamprey spinal cord","Kiemel, T; Gormley, KM; Guan, L; Williams, TL; Cohen, AH","","","","JOURNAL OF COMPUTATIONAL NEUROSCIENCE","SEP-OCT 2003","2003","15","2","","","","233","245","","10.1023/A:1025868910179","","","29","1.93","0"
"Molecular cloning and sequencing of the banded dogfish (Triakis scyllia) interleukin-8 cDNA","Inoue, Y; Haruta, C; Usui, K; Moritomo, T; Nakanishi, T","","","","FISH & SHELLFISH IMMUNOLOGY","MAR 2003","2003","14","3","","","","275","281","","10.1006/fsim.2002.0432","","","29","1.93","0"
"Macrophage migration inhibitory factor (MIF) of jawed and jawless fishes: implications for its evolutionary origin","Sato, A; Uinuk-Ool, TS; Kuroda, N; Mayer, WE; Takezaki, N; Dongak, R; Figueroa, F; Cooper, MD; Klein, J","","","","DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","MAY 2003","2003","27","5","","","","401","412","PII S0145-305X(02)00136-2","10.1016/S0145-305X(02)00136-2","","","28","1.87","1"
"Endogenous dopaminergic modulation of the lamprey spinal locomotor network","Svensson, E; Woolley, J; Wikstrom, M; Grillner, S","","","","BRAIN RESEARCH","APR 25 2003","2003","970","1-2","","","","1","8","","10.1016/S0006-8993(02)04216-6","","","26","1.73","0"
