ACCESSION NUMBER: (WOS:0002213213*)
null
Timespan=All years. Indexes=SCI-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Sea Lamprey International Symposium (SLIS II): Advances in the integrated management of sea lamprey in the Great Lakes","Christie, GC; Goddard, CI","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","1","14","","","","","104","6.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","2","3","5","11","7","4","4","3","7","14","8","17","2"
"The chemical ecology and potential application of the sea lamprey migratory pheromone","Sorensen, PW; Vrieze, LA","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","66","84","","","","","69","4.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","4","3","5","5","6","5","5","4","6","3","4","6","1"
"The sterile-male-release technique in Great Lakes sea lamprey management","Twohey, MB; Heinrich, JW; Seelye, JG; Fredricks, KT; Bergstedt, RA; Kaye, CA; Scholefield, RJ; McDonald, RB; Christie, GC","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","410","423","","","","","67","4.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","3","4","2","5","3","3","5","3","2","2","6","3","6","0"
"Techniques and methods for estimating abundance of larval and metamorphosed sea lampreys in Great Lakes tributaries,1995 to 2001","Slade, JW; Adams, JV; Christie, GC; Cuddy, DW; Fodale, MF; Heinrich, JW; Quinlan, HR; Weise, JG; Weisser, JW; Young, RJ","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","137","151","","","","","55","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","2","2","5","5","2","2","2","4","2","4","2","5","1"
"Development and implementation of an integrated program for control of sea lampreys in the St. Marys River","Schleen, LP; Christie, GC; Heinrich, JW; Bergstedt, RA; Young, RJ; Morse, TJ; Lavis, DS; Bills, TD; Johnson, JE; Ebener, MP","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","677","693","","","","","49","3.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","5","2","0","4","4","0","0","3","1","2","2","3","5","0"
"Estimating lake-wide abundance of spawning-phase sea lampreys (Petromyzon marinus) in the Great Lakes: Extrapolating from sampled streams using regression models","Mullett, KM; Heinrich, JW; Adams, JV; Young, RJ; Henson, MP; McDonald, RB; Fodale, MF","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","240","252","","","","","48","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","2","1","1","6","1","1","3","1","0","2","4","4","8","0"
"History of and advances in barriers as an alternative method to suppress sea lampreys in the Great Lakes","Lavis, DS; Hallett, A; Koon, EM; McAuley, TC","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","362","372","","","","","45","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","0","1","6","3","4","1","1","2","2","5","4","4","1"
"Selecting great lakes streams for lampricide treatment based on larval sea lamprey surveys","Christie, GC; Adams, JV; Steeves, TB; Slade, JW; Cuddy, DW; Fodales, MF; Young, RJ; Kuc, M; Jones, ML","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","152","160","","","","","42","2.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","2","1","5","0","1","3","5","2","3","1","2","0"
"The endocrinology of reproduction in lampreys and applications for male lamprey sterilization","Sower, SA","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","50","65","","","","","41","2.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","5","4","2","3","4","3","2","3","4","1","2","1"
"Compensatory mechanisms in great lakes sea lamprey populations: Implications for alternative control strategies","Jones, ML; Bergstedt, RA; Tvohey, MB; Fodale, MF; Cuddy, DW; Slades, JW","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","113","129","","","","","41","2.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","1","2","6","1","6","1","0","1","2","2","4","4","0"
